p_c,R(code units),M(Msun),e(pc),col2(pc),col3(pc),col4(pc),col5(pc),col6(pc)
1.030039e-05,7.055000e+00,1.873857e-01,4.316979e-04,1.301859e+00,3.284045e+02,0.000000e+00,1.112104e-01,1.000000e+00
1.063836e-05,7.075000e+00,1.926809e-01,4.348336e-04,1.311848e+00,3.287216e+02,0.000000e+00,1.148506e-01,1.000000e+00
1.098742e-05,7.100000e+00,1.981546e-01,4.380722e-04,1.322165e+00,3.290492e+02,0.000000e+00,1.186102e-01,1.000000e+00
1.134793e-05,7.120000e+00,2.037583e-01,4.414171e-04,1.332820e+00,3.293876e+02,0.000000e+00,1.224932e-01,1.000000e+00
1.172027e-05,7.145000e+00,2.095460e-01,4.448717e-04,1.343825e+00,3.297370e+02,0.000000e+00,1.265036e-01,1.000000e+00
1.210483e-05,7.170000e+00,2.154880e-01,4.483037e-04,1.354787e+00,3.300940e+02,0.000000e+00,1.304401e-01,1.000000e+00
1.250200e-05,7.195000e+00,2.216000e-01,4.514709e-04,1.364988e+00,3.304520e+02,0.000000e+00,1.339357e-01,1.000000e+00
1.291221e-05,7.225000e+00,2.279192e-01,4.547421e-04,1.375524e+00,3.308217e+02,0.000000e+00,1.375459e-01,1.000000e+00
1.333587e-05,7.250000e+00,2.343889e-01,4.581207e-04,1.386405e+00,3.312035e+02,0.000000e+00,1.412746e-01,1.000000e+00
1.377344e-05,7.275000e+00,2.410269e-01,4.616100e-04,1.397643e+00,3.315979e+02,0.000000e+00,1.451256e-01,1.000000e+00
1.422536e-05,7.305000e+00,2.478768e-01,4.652078e-04,1.409232e+00,3.320050e+02,0.000000e+00,1.491060e-01,1.000000e+00
1.469212e-05,7.335000e+00,2.549127e-01,4.684392e-04,1.419710e+00,3.324104e+02,0.000000e+00,1.534605e-01,1.000000e+00
1.517418e-05,7.365000e+00,2.621395e-01,4.717767e-04,1.430532e+00,3.328292e+02,0.000000e+00,1.579578e-01,1.000000e+00
1.567207e-05,7.390000e+00,2.695364e-01,4.752236e-04,1.441708e+00,3.332617e+02,0.000000e+00,1.626027e-01,1.000000e+00
1.618629e-05,7.425000e+00,2.771938e-01,4.787836e-04,1.453252e+00,3.337084e+02,0.000000e+00,1.674000e-01,1.000000e+00
1.671738e-05,7.455000e+00,2.850139e-01,4.822990e-04,1.464676e+00,3.341644e+02,0.000000e+00,1.723266e-01,1.000000e+00
1.726590e-05,7.485000e+00,2.930531e-01,4.856432e-04,1.475592e+00,3.346259e+02,0.000000e+00,1.773650e-01,1.000000e+00
1.783242e-05,7.515000e+00,3.013015e-01,4.890971e-04,1.486866e+00,3.351025e+02,0.000000e+00,1.825687e-01,1.000000e+00
1.841752e-05,7.550000e+00,3.098053e-01,4.926643e-04,1.498510e+00,3.355947e+02,0.000000e+00,1.879431e-01,1.000000e+00
1.902182e-05,7.580000e+00,3.184815e-01,4.962693e-04,1.510290e+00,3.361003e+02,0.000000e+00,1.934467e-01,1.000000e+00
1.964595e-05,7.615000e+00,3.274264e-01,4.996706e-04,1.521462e+00,3.366111e+02,0.000000e+00,1.989392e-01,1.000000e+00
2.029056e-05,7.650000e+00,3.365978e-01,5.031835e-04,1.533000e+00,3.371387e+02,0.000000e+00,2.046120e-01,1.000000e+00
2.095632e-05,7.680000e+00,3.459723e-01,5.068116e-04,1.544917e+00,3.376836e+02,0.000000e+00,2.104709e-01,1.000000e+00
2.164393e-05,7.715000e+00,3.556148e-01,5.102797e-04,1.556358e+00,3.382349e+02,0.000000e+00,2.186880e-01,1.000000e+00
2.235409e-05,7.750000e+00,3.655190e-01,5.134913e-04,1.567024e+00,3.387890e+02,0.000000e+00,2.300476e-01,1.000000e+00
2.308756e-05,7.785000e+00,3.756894e-01,5.168082e-04,1.578041e+00,3.393614e+02,0.000000e+00,2.417799e-01,1.000000e+00
